,Unnamed: 0,image_name,image_url
0,0.0,1a76122aab7176d8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1a76122aab7176d8.jpg
1,1.0,5accc0a51f39559f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/5accc0a51f39559f.jpg
2,2.0,f607867752dd80e9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f607867752dd80e9.jpg
3,3.0,47df981ba82e224c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/47df981ba82e224c.jpg
4,4.0,aff1b59bccb0f6cb.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/aff1b59bccb0f6cb.jpg
5,5.0,493451d242a4db07.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/493451d242a4db07.jpg
6,6.0,52c3df5c80e17b7d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/52c3df5c80e17b7d.jpg
7,7.0,d7f6bd8eaaa895e8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d7f6bd8eaaa895e8.jpg
8,8.0,073af2b33d6dae8d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/073af2b33d6dae8d.jpg
9,9.0,93b47a2b2ba54ff0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/93b47a2b2ba54ff0.jpg
10,10.0,0d38657e9e419712.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0d38657e9e419712.jpg
11,11.0,571c73891600861d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/571c73891600861d.jpg
12,12.0,eaa31ab809d72b59.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/eaa31ab809d72b59.jpg
13,13.0,bb3e85963dc57b37.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/bb3e85963dc57b37.jpg
14,14.0,cba9c87b13a7f229.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/cba9c87b13a7f229.jpg
15,15.0,25762b3bca3372c0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/25762b3bca3372c0.jpg
16,16.0,04bb2ce5401f9adc.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/04bb2ce5401f9adc.jpg
17,17.0,b321500f1e945322.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b321500f1e945322.jpg
18,18.0,0eff9cc4da96bb03.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0eff9cc4da96bb03.jpg
19,19.0,75cedc4e3e41ceda.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/75cedc4e3e41ceda.jpg
20,20.0,4ec6c0903971f4c4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/4ec6c0903971f4c4.jpg
21,21.0,314564d99582b4a3.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/314564d99582b4a3.jpg
22,22.0,c0e74c2aae1c7e9a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c0e74c2aae1c7e9a.jpg
23,23.0,fcaa9c7e1b9247ff.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/fcaa9c7e1b9247ff.jpg
24,24.0,fba269c883060007.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/fba269c883060007.jpg
25,25.0,ed9d7938ba998309.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ed9d7938ba998309.jpg
26,26.0,9a5a186f3de76df8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/9a5a186f3de76df8.jpg
27,27.0,808ecfbdd6950dc8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/808ecfbdd6950dc8.jpg
28,28.0,b6d79eedeee65ce8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b6d79eedeee65ce8.jpg
29,29.0,09debf2a4b0e7c6b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/09debf2a4b0e7c6b.jpg
