,image_name,image_url
0,1a76122aab7176d8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1a76122aab7176d8.jpg
1,5accc0a51f39559f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/5accc0a51f39559f.jpg
2,f607867752dd80e9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f607867752dd80e9.jpg
3,47df981ba82e224c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/47df981ba82e224c.jpg
4,aff1b59bccb0f6cb.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/aff1b59bccb0f6cb.jpg
5,493451d242a4db07.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/493451d242a4db07.jpg
6,52c3df5c80e17b7d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/52c3df5c80e17b7d.jpg
7,d7f6bd8eaaa895e8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d7f6bd8eaaa895e8.jpg
8,073af2b33d6dae8d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/073af2b33d6dae8d.jpg
9,93b47a2b2ba54ff0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/93b47a2b2ba54ff0.jpg
10,0d38657e9e419712.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0d38657e9e419712.jpg
11,571c73891600861d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/571c73891600861d.jpg
12,eaa31ab809d72b59.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/eaa31ab809d72b59.jpg
13,bb3e85963dc57b37.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/bb3e85963dc57b37.jpg
14,cba9c87b13a7f229.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/cba9c87b13a7f229.jpg
15,25762b3bca3372c0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/25762b3bca3372c0.jpg
16,04bb2ce5401f9adc.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/04bb2ce5401f9adc.jpg
17,b321500f1e945322.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b321500f1e945322.jpg
18,0eff9cc4da96bb03.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0eff9cc4da96bb03.jpg
19,75cedc4e3e41ceda.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/75cedc4e3e41ceda.jpg
20,4ec6c0903971f4c4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/4ec6c0903971f4c4.jpg
21,314564d99582b4a3.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/314564d99582b4a3.jpg
22,c0e74c2aae1c7e9a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c0e74c2aae1c7e9a.jpg
23,fcaa9c7e1b9247ff.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/fcaa9c7e1b9247ff.jpg
24,fba269c883060007.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/fba269c883060007.jpg
25,ed9d7938ba998309.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ed9d7938ba998309.jpg
26,9a5a186f3de76df8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/9a5a186f3de76df8.jpg
27,808ecfbdd6950dc8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/808ecfbdd6950dc8.jpg
28,b6d79eedeee65ce8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b6d79eedeee65ce8.jpg
29,09debf2a4b0e7c6b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/09debf2a4b0e7c6b.jpg
30,8dd6912439a4149c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8dd6912439a4149c.jpg
31,0597b56c8817d453.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/0597b56c8817d453.jpg
32,ca9955980b9b6897.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ca9955980b9b6897.jpg
33,c0969e30fa49150f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c0969e30fa49150f.jpg
34,66745d8411ae98c9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/66745d8411ae98c9.jpg
35,2e330834aff8a4de.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2e330834aff8a4de.jpg
36,3c8567cfe0187c43.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/3c8567cfe0187c43.jpg
37,2df752256cd41bf5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2df752256cd41bf5.jpg
38,1b50ee203ab8062e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1b50ee203ab8062e.jpg
39,4508f24f36262e3b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/4508f24f36262e3b.jpg
40,29b7026b6c1d27a0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/29b7026b6c1d27a0.jpg
41,d51eab0318c32901.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d51eab0318c32901.jpg
42,75ce19dae014af08.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/75ce19dae014af08.jpg
43,8af61572eb78369e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8af61572eb78369e.jpg
44,6964c146bf4b954e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/6964c146bf4b954e.jpg
45,ca06f6afda1ab97f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ca06f6afda1ab97f.jpg
46,a992ed9a815c47da.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/a992ed9a815c47da.jpg
47,a00f66d96ab42e8d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/a00f66d96ab42e8d.jpg
48,c1a2c2ce785ef74c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c1a2c2ce785ef74c.jpg
49,effd97287e6faa5e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/effd97287e6faa5e.jpg
50,16df503ba33a1313.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/16df503ba33a1313.jpg
51,de185e5152e52548.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/de185e5152e52548.jpg
52,135b6ce876219820.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/135b6ce876219820.jpg
53,c6642496ab3718ca.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c6642496ab3718ca.jpg
54,8ab8de8203e21cf3.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8ab8de8203e21cf3.jpg
55,05bccc1559d41f53.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/05bccc1559d41f53.jpg
56,83c8fe8a8a9ad51c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/83c8fe8a8a9ad51c.jpg
