,FileName,XMin,XMax,YMin,YMax,ClassName
0,0000599864fd15b3.jpg,0.094375,0.1075,0.467545,0.502352,Traffic light
1,0000599864fd15b3.jpg,0.1125,0.125625,0.471308,0.507996,Traffic light
2,0000599864fd15b3.jpg,0.128125,0.17625,0.26716799999999996,0.381938,Traffic light
3,0000599864fd15b3.jpg,0.195,0.2475,0.257761,0.41016,Traffic light
4,0000599864fd15b3.jpg,0.0,0.054375,0.556914,0.620884,Car
5,0003bb040a62c86f.jpg,0.32625,0.349375,0.346487,0.397498,Person
6,0003bb040a62c86f.jpg,0.461875,0.55375,0.312801,0.811357,Person
7,0003bb040a62c86f.jpg,0.62,0.641875,0.350337,0.448508,Person
8,0003bb040a62c86f.jpg,0.650625,0.67125,0.344562,0.446583,Person
9,0003bb040a62c86f.jpg,0.72625,0.754375,0.354187,0.448508,Person
10,0003bb040a62c86f.jpg,0.3975,0.416875,0.25697800000000004,0.286814,Traffic sign
11,0003bb040a62c86f.jpg,0.533125,0.56,0.281039,0.3282,Traffic sign
12,0004c03cb6520680.jpg,0.0825,0.14875,0.501111,0.763333,Person
13,0004c03cb6520680.jpg,0.14625,0.2025,0.483333,0.728889,Person
14,0004c03cb6520680.jpg,0.29,0.33625,0.49444399999999994,0.576667,Person
15,0004c03cb6520680.jpg,0.45125,0.526875,0.52,0.757778,Person
16,0004c03cb6520680.jpg,0.616875,0.666875,0.498889,0.574444,Person
17,0004c03cb6520680.jpg,0.669375,0.726875,0.526667,0.717778,Person
18,0004c03cb6520680.jpg,0.779375,0.835625,0.5444439999999999,0.704444,Person
19,0004c03cb6520680.jpg,0.894375,0.96125,0.504444,0.708889,Person
20,0008fd2b17474497.jpg,0.84875,0.95625,0.010833,0.2,Traffic sign
21,000e5dcb9711fcb4.jpg,0.240625,0.794375,0.09666699999999999,0.86,Traffic light
22,000fe94a7fc81d24.jpg,0.075,0.34375,0.65,0.82,Car
23,000fe94a7fc81d24.jpg,0.3975,0.59625,0.5925,0.730833,Car
24,000fea75ed43e923.jpg,0.319375,0.43,0.08494199999999999,0.290541,Traffic light
25,00112acaa533356c.jpg,0.705,0.77375,0.719912,0.853392,Traffic sign
26,0015007e4c8d174b.jpg,0.725625,0.74,0.580833,0.618333,Traffic light
27,0015007e4c8d174b.jpg,0.745,0.764375,0.578333,0.616667,Traffic light
28,0015007e4c8d174b.jpg,0.0,0.041875,0.643333,0.684167,Car
29,0015007e4c8d174b.jpg,0.91875,0.94875,0.6533329999999999,0.7,Car
30,0015007e4c8d174b.jpg,0.933125,0.9925,0.658333,0.719167,Car
31,001679a19bb6fd3f.jpg,0.00125,0.03375,0.268333,0.320833,Traffic light
32,001679a19bb6fd3f.jpg,0.421875,0.435,0.400833,0.421667,Traffic light
33,001679a19bb6fd3f.jpg,0.813125,0.849375,0.2275,0.30833299999999997,Traffic sign
34,001679a19bb6fd3f.jpg,0.820625,0.846875,0.028332999999999997,0.23,Traffic sign
35,001679a19bb6fd3f.jpg,0.0,0.155625,0.410833,0.658333,Car
36,001679a19bb6fd3f.jpg,0.08875,0.196875,0.403333,0.6225,Car
37,001679a19bb6fd3f.jpg,0.391875,0.434375,0.456667,0.5175,Car
38,001bdcfe3d6ea079.jpg,0.645403,0.737336,0.490625,0.519375,Car
39,001c32e78394feb2.jpg,0.842773,0.886719,0.420205,0.579795,Traffic light
40,001c32e78394feb2.jpg,0.886719,0.9238280000000001,0.433382,0.550512,Traffic light
41,001c32e78394feb2.jpg,0.890625,0.9316409999999999,0.420205,0.575403,Traffic light
42,001c32e78394feb2.jpg,0.988281,0.999023,0.530015,0.594436,Traffic light
43,001c32e78394feb2.jpg,0.0,0.225586,0.734993,0.9795020000000001,Car
44,001c32e78394feb2.jpg,0.7871090000000001,0.8847659999999999,0.6456810000000001,0.7467060000000001,Car
45,001c32e78394feb2.jpg,0.81543,0.936523,0.569546,0.635432,Car
46,001c32e78394feb2.jpg,0.9619139999999999,0.999023,0.667643,0.745242,Car
47,001c40a6f5d88e48.jpg,0.05625,0.181875,0.781111,0.945556,Traffic sign
48,001c40a6f5d88e48.jpg,0.355,0.4175,0.726667,0.841111,Traffic sign
49,001c40a6f5d88e48.jpg,0.450625,0.506875,0.75,0.8522219999999999,Traffic sign
50,001c40a6f5d88e48.jpg,0.701875,0.7325,0.704444,0.758889,Traffic sign
51,001c40a6f5d88e48.jpg,0.749375,0.7675,0.5711109999999999,0.5966670000000001,Traffic sign
52,001ec67e5cbcca49.jpg,0.735625,0.79875,0.44875,0.51375,Traffic sign
53,001ec67e5cbcca49.jpg,0.248125,0.545625,0.81625,0.99375,Car
54,0020996570519366.jpg,0.25375,0.5425,0.261667,0.68,Traffic sign
55,0020996570519366.jpg,0.5775,0.7525,0.456667,0.658333,Traffic sign
56,0022fdfc1880d432.jpg,0.0,0.20875,0.261667,0.515,Car
57,0022fdfc1880d432.jpg,0.04875,0.94875,0.1525,0.86,Car
58,0026d0c5a6d3c67e.jpg,0.295,0.321667,0.301875,0.348125,Traffic light
59,002bdd2550665a64.jpg,0.16125,0.81875,0.0,0.826667,Traffic sign
60,002ccb771c6d8d4d.jpg,0.16375,0.63375,0.503731,0.826493,Car
61,002ccb771c6d8d4d.jpg,0.56875,0.86375,0.559702,0.651119,Car
62,002ccb771c6d8d4d.jpg,0.7825,0.98,0.557836,0.647388,Car
63,002f269e98e55152.jpg,0.069375,0.113125,0.37033699999999997,0.750682,Person
64,002f269e98e55152.jpg,0.1,0.14875,0.387625,0.715196,Person
65,002f269e98e55152.jpg,0.14125,0.174375,0.413103,0.542311,Person
66,002f269e98e55152.jpg,0.163125,0.1875,0.404004,0.521383,Person
67,002f269e98e55152.jpg,0.174375,0.20125,0.411283,0.536852,Person
68,002f269e98e55152.jpg,0.205625,0.224375,0.411283,0.5068239999999999,Person
69,002f269e98e55152.jpg,0.35125,0.423125,0.382166,0.682439,Person
70,002f269e98e55152.jpg,0.360625,0.425625,0.411283,0.7097359999999999,Person
71,002f269e98e55152.jpg,0.424375,0.6125,0.379436,0.6760689999999999,Person
72,002f269e98e55152.jpg,0.428125,0.518125,0.409463,0.7570520000000001,Person
73,002f269e98e55152.jpg,0.530625,0.620625,0.387625,0.78071,Person
74,002f269e98e55152.jpg,0.60125,0.6575,0.40218400000000004,0.760692,Person
75,0030feaa83a02c0d.jpg,0.309375,0.34875,0.601,0.63,Traffic light
76,0030feaa83a02c0d.jpg,0.331875,0.39375,0.557,0.588,Traffic light
77,0030feaa83a02c0d.jpg,0.3475,0.39,0.614,0.636,Traffic light
78,0030feaa83a02c0d.jpg,0.650625,0.699375,0.616,0.64,Traffic light
79,0030feaa83a02c0d.jpg,0.6825,0.746875,0.507,0.548,Traffic light
80,0030feaa83a02c0d.jpg,0.698125,0.751875,0.577,0.604,Traffic light
81,0030feaa83a02c0d.jpg,0.0825,0.13,0.305,0.467,Traffic sign
82,0030feaa83a02c0d.jpg,0.13375,0.164375,0.549,0.648,Traffic sign
83,0030feaa83a02c0d.jpg,0.745,0.80875,0.486,0.553,Traffic sign
84,0030feaa83a02c0d.jpg,0.75375,0.81,0.564,0.613,Traffic sign
85,003956104a6b7d0d.jpg,0.216875,0.269375,0.481278,0.674009,Traffic light
86,003956104a6b7d0d.jpg,0.221875,0.235625,0.544053,0.580396,Traffic light
87,003956104a6b7d0d.jpg,0.23375,0.244375,0.501101,0.560573,Traffic light
